Operation Number,Operation Region,Operation Name,Operation Name (Number),Address Line 1,Address Line 2,City,Zip Code,County,Operation Type,Capacity,Permit Issue Date,Today,Dt Load Process,Effective Date 1/1/22,Operating Status 1/1/22,Permit Status 1/1/22,Effective Date 1/8/22,Operating Status 1/8/22,Permit Status 1/8/22,Effective Date 1/15/22,Operating Status 1/15/22,Permit Status 1/15/22,Effective Date 1/22/22,Operating Status 1/22/22,Permit Status 1/22/22,Effective Date 1/29/22,Operating Status 1/29/22,Permit Status 1/29/22
816502,7,Marys Heavenly Home,Marys Heavenly Home (816502),1509 SPRING PEONY CT,,PFLUGERVILLE,78660,TRAVIS,Licensed Child-Care Home,12,10/10/02,3/2/22,2/7/22,7/20/20,Y,Full,,,,,,,,,,,,
816535,8,House of Neighborly Service,House of Neighborly Service (816535),407 N CALAVERAS,,SAN ANTONIO,78207,BEXAR,Licensed Center - Child Care Program,47,11/18/02,3/2/22,2/7/22,5/17/02,Y,Full,,,,,,,,,,,,
816561,6,VERONICA M. MONARREZ,VERONICA M. MONARREZ (816561),19210 CLEVERA WALK LN,,HOUSTON,77084,HARRIS,Registered Child-Care Home,12,5/28/02,3/2/22,2/7/22,8/10/16,Y,Full,,,,,,,,,,,,
816565,6,DORIS  MEJIA,DORIS  MEJIA (816565),11823 BANDLON DR,,HOUSTON,77072,HARRIS,Registered Child-Care Home,12,5/28/02,3/2/22,2/7/22,5/28/02,Y,Full,,,,,,,,,,,,
816574,6,Creative Care Academy,Creative Care Academy (816574),9660 BEECHNUT ST,,HOUSTON,77036,HARRIS,Licensed Center - Child Care Program,103,10/25/02,3/2/22,2/7/22,4/13/20,Y,Full,,,,,,,,,,,,
816585,3,Bich Uyen Ta,Bich Uyen Ta (816585),2004 EDGEHILL DR,,ARLINGTON,76014,TARRANT,Registered Child-Care Home,12,6/4/02,3/2/22,2/7/22,12/1/20,Y,Full,,,,,,,,,,,,
816600,11,Magic Times Child Care,Magic Times Child Care (816600),2704 CHACOTA ST,,LAREDO,78046,WEBB,Licensed Child-Care Home,12,9/10/02,3/2/22,2/7/22,11/16/20,Y,Full,,,,,,,,,,,,
816646,6,Esperanza Heights,Esperanza Heights (816646),429 HEIGHTS BLVD,,HOUSTON,77007,HARRIS,Licensed Center - Child Care Program,86,10/29/02,3/2/22,2/7/22,6/8/20,Y,Full,,,,,,,,,,,,
816647-810,3,Childrens Courtyard,Childrens Courtyard (816647-810),129 TOWN CENTER BLVD,,COPPELL,75019,DALLAS,Licensed Center - Child Care Program,302,10/15/02,3/2/22,2/7/22,5/18/20,Y,Full,,,,,,,,,,,,
816651,3,Charlene Taylor,Charlene Taylor (816651),2901 ALPINE CT,,MCKINNEY,75071,COLLIN,Registered Child-Care Home,12,5/9/02,3/2/22,2/7/22,5/9/02,Y,Full,,,,,,,,,,,,
816702,6,Silvia Marquez,Silvia Marquez (816702),2801 PARKGLEN ST,,DEER PARK,77536,HARRIS,Registered Child-Care Home,12,5/23/02,3/2/22,2/7/22,5/23/02,Y,Full,,,,,,,,,,,,
816786,3,Davids Place Head Start,Davids Place Head Start (816786),1000 S CARROLL AVE,,DALLAS,75223,DALLAS,Licensed Center - Child Care Program,190,1/15/03,3/2/22,2/7/22,3/22/21,Y,Full,,,,,,,,,,,,
816823,8,Edna  Wolf,Edna  Wolf (816823),22131 ADVANTAGE RUN,,SAN ANTONIO,78258,BEXAR,Registered Child-Care Home,12,5/22/02,3/2/22,2/7/22,5/22/02,Y,Full,,,,,,,,,,,,
816921,3,Arooj Day Care,Arooj Day Care (816921),1829 TAWAKONI LN,,PLANO,75075,COLLIN,Licensed Child-Care Home,12,11/7/02,3/2/22,2/7/22,4/19/21,Y,Full,,,,,,,,,,,,
816923,3,Adventure Discovery Center Number 3,Adventure Discovery Center Number 3 (816923),2631 W 4TH ST,,IRVING,75060,DALLAS,Licensed Center - Child Care Program,78,9/10/02,3/2/22,2/7/22,8/23/21,Y,Full,,,,1/10/22,N,,1/19/22,Y,,,,
816945,3,Jacquelyine Shaw,Jacquelyine Shaw (816945),5204 TIMBER PARK DR,,FLOWER MOUND,75028,DENTON,Registered Child-Care Home,12,5/8/02,3/2/22,2/7/22,5/27/20,Y,Full,,,,,,,,,,,,
816991,4,Gresham Heights Learning Academy,Gresham Heights Learning Academy (816991),15945 FM 2493,,TYLER,75703,SMITH,Licensed Center - Child Care Program,83,4/29/02,3/2/22,2/7/22,4/29/02,Y,Full,,,,,,,,,,,,
817020,3,Kids Green Acre School,Kids Green Acre School (817020),675 W OATES RD,,GARLAND,75043,DALLAS,Licensed Center - Child Care Program,289,5/28/02,3/2/22,2/7/22,4/26/02,Y,Full,,,,,,,,,,,,
817093,3,Tammy Hernandez,Tammy Hernandez (817093),14711 BIRCHRIDGE DR,,DALLAS,75254,DALLAS,Registered Child-Care Home,12,5/23/02,3/2/22,2/7/22,5/23/02,Y,Full,,,,,,,,,,,,
817106,6,Montessori Country Day School,Montessori Country Day School (817106),4909 CRAWFORD ST,,HOUSTON,77004,HARRIS,Licensed Center - Child Care Program,49,10/11/02,3/2/22,2/7/22,7/14/20,Y,Full,,,,,,,,,,,,
817177,8,Laura P Guajardo,Laura P Guajardo (817177),2311 LOUISE ST,,SEGUIN,78155,GUADALUPE,Registered Child-Care Home,12,6/20/02,3/2/22,2/7/22,6/20/02,Y,Full,,,,,,,,,,,,
817197,3,Flower Mound United Methodist Church,Flower Mound United Methodist Church (817197),3950 BRUTON ORAND BLVD,,FLOWER MOUND,75022,DENTON,Licensed Center - Child Care Program,150,12/23/02,3/2/22,2/7/22,9/8/20,Y,Full,,,,,,,,,,,,
817236,11,Maria L Martinez,Maria L Martinez (817236),1609 CIMMARRON ST,,PORTLAND,78374,SAN PATRICIO,Listed Family Home,3,8/15/02,3/2/22,2/7/22,11/23/20,Y,Full,,,,,,,,,,,,
817237,11,Kid's Smile Day Care,Kid's Smile Day Care (817237),3154 LIMA ST,,BROWNSVILLE,78521,CAMERON,Licensed Center - Child Care Program,40,10/31/02,3/2/22,2/7/22,5/1/02,Y,Full,,,,,,,,,,,,
817314,7,Rockin Baby Ranch,Rockin Baby Ranch (817314),4000 FM 2223,,BRYAN,77808,BRAZOS,Licensed Child-Care Home,12,12/4/02,3/2/22,2/7/22,5/4/20,Y,Full,,,,,,,,,,,,
817358,7,EOAC Johnette Hicks Early Head Start Center,EOAC Johnette Hicks Early Head Start Center (817358),510 S 12TH ST,,WACO,76706,MCLENNAN,Licensed Center - Child Care Program,136,11/20/02,3/2/22,2/7/22,9/1/21,Y,Full,,,,,,,,,,,,
817364,7,Laurie Brown,Laurie Brown (817364),502 S 3RD ST,,ABBOTT,76621,HILL,Registered Child-Care Home,12,6/18/02,3/2/22,2/7/22,6/18/02,Y,Full,,,,,,,,,,,,
817369,5,Artimese  Lindsey,Artimese  Lindsey (817369),1810 BURTON AVE,,ORANGE,77630,ORANGE,Registered Child-Care Home,7,7/8/02,3/2/22,2/7/22,10/1/21,Y,Full,,,,,,,,,,,,
817389,3,Ruth Mintline,Ruth Mintline (817389),919 WATERVIEW CIR,,RICHARDSON,75080,DALLAS,Registered Child-Care Home,12,5/31/02,3/2/22,2/7/22,5/31/02,Y,Full,,,,,,,,,,,,
817391,8,All My Children,All My Children (817391),627 N GENERAL MCMULLEN DR,,SAN ANTONIO,78228,BEXAR,Licensed Center - Child Care Program,80,3/6/03,3/2/22,2/7/22,9/16/02,Y,Full,,,,,,,,,,,,
817437,8,Norma Ramirez,Norma Ramirez (817437),2010 SACRAMENTO,,SAN ANTONIO,78201,BEXAR,Listed Family Home,3,1/22/03,3/2/22,2/7/22,1/4/21,Y,Full,,,,,,,,,,,,
817447,3,Lisas Learning Center,Lisas Learning Center (817447),204 E OAKDALE ST,,KEENE,76059,JOHNSON,Licensed Child-Care Home,12,10/14/02,3/2/22,2/7/22,10/14/02,Y,Full,,,,,,,,,,,,
817474,8,Kelly Van Ry,Kelly Van Ry (817474),202 CIMARRON DR,,VICTORIA,77904,VICTORIA,Licensed Child-Care Home,10,1/17/03,3/2/22,2/7/22,5/17/21,Y,Full,,,,,,,,,,,,
817479,8,Shady Oaks Learning Center,Shady Oaks Learning Center (817479),918 TOEPPERWEIN RD,,CONVERSE,78109,BEXAR,Licensed Center - Child Care Program,67,12/17/02,3/2/22,2/7/22,7/9/02,Y,Full,,,,,,,,,,,,
817511,10,A Guardian Angel Child Care Ctr,A Guardian Angel Child Care Ctr (817511),6342 AIRPORT RD,STE B,EL PASO,79925,EL PASO,Licensed Center - Child Care Program,129,8/1/03,3/2/22,2/7/22,7/16/02,Y,Full,,,,,,,,,,,,
817520,10,Childrens Choice Learning Center,Childrens Choice Learning Center (817520),6330 N MESA ST,STE J,EL PASO,79912,EL PASO,Licensed Center - Child Care Program,131,11/22/02,3/2/22,2/7/22,6/3/02,Y,Full,,,,,,,,,,,,
817615,9,Discovery School Preschool,Discovery School Preschool (817615),3500 W GOLF COURSE RD,,MIDLAND,79703,MIDLAND,Licensed Center - Child Care Program,122,2/21/03,3/2/22,2/7/22,9/8/20,Y,Full,,,,,,,,,,,,
817622,6,Play Palace,Play Palace (817622),4814 1/2 ANDERSON RD,,HOUSTON,77053,HARRIS,Licensed Center - Child Care Program,78,11/13/02,3/2/22,2/7/22,6/14/02,Y,Full,,,,,,,,,,,,
817631,3,Carousel Academy,Carousel Academy (817631),401 ACKER ST,,SANGER,76266,DENTON,Licensed Center - Child Care Program,115,10/10/02,3/2/22,2/7/22,5/18/20,Y,Full,,,,,,,,,,,,
817652,2,Southside Youth Senter,Southside Youth Senter (817652),1205 MONTGOMERY ST,,WICHITA FALLS,76302,WICHITA,Licensed Center - School Age Program,80,5/30/18,3/2/22,2/7/22,7/27/20,Y,Full,,,,,,,,,,,,
817795,6,Minh Thi Hoang,Minh Thi Hoang (817795),8523 LEADER ST,,HOUSTON,77036,HARRIS,Registered Child-Care Home,12,7/1/02,3/2/22,2/7/22,7/1/02,Y,Full,,,,,,,,,,,,
817812,3,Ferguson Oates Head Start,Ferguson Oates Head Start (817812),2345 OATES DR,,DALLAS,75228,DALLAS,Licensed Center - Child Care Program,160,12/12/02,3/2/22,2/7/22,10/5/20,Y,Full,,,,,,,,,,,,
817944,8,Kid Depot,Kid Depot (817944),646 OAKHAVEN RD,,PLEASANTON,78064,ATASCOSA,Licensed Center - Child Care Program,103,11/26/02,3/2/22,2/7/22,11/26/02,Y,Full,,,,,,,,,,,,
817990,2,All Gods Children,All Gods Children (817990),2801 ANTILLEY RD,,ABILENE,79606,TAYLOR,Licensed Center - Child Care Program,319,11/30/02,3/2/22,2/7/22,5/4/20,Y,Full,,,,,,,,,,,,
818013,3,The Community School Park Cities,The Community School Park Cities (818013),3412 BINKLEY AVE,,DALLAS,75205,DALLAS,Licensed Center - Child Care Program,80,6/3/02,3/2/22,2/7/22,7/6/20,Y,Full,,,,,,,,,,,,
818045,3,Kids Concepts Child Development,Kids Concepts Child Development (818045),4019 W LEDBETTER DR,,DALLAS,75233,DALLAS,Licensed Center - Child Care Program,163,12/3/02,3/2/22,2/7/22,4/20/20,Y,Full,,,,,,,,,,,,
818059,3,Lake Highlands Baptist Church,Lake Highlands Baptist Church (818059),642 BROOKHURST DR,,DALLAS,75218,DALLAS,Licensed Center - Child Care Program,130,2/20/03,3/2/22,2/7/22,6/10/20,Y,Full,,,,,,,,,,,,
818113,6,Nathan J & Amelia Klein Head Start,Nathan J & Amelia Klein Head Start (818113),6447 PRESTWOOD DR,,HOUSTON,77081,HARRIS,Licensed Center - Child Care Program,121,12/4/02,3/2/22,2/7/22,9/9/20,Y,Full,,,,,,,,,,,,
818132,7,Pecan Street Christian School at PFUMC,Pecan Street Christian School at PFUMC (818132),500 PECAN ST E,,PFLUGERVILLE,78660,TRAVIS,Licensed Center - Child Care Program,95,1/21/03,3/2/22,2/7/22,1/4/21,Y,Full,,,,,,,,,,,,
818188,7,Priscilla Pond Flawn Child and Family Lab UT,Priscilla Pond Flawn Child and Family Lab UT (818188),108 E DEAN KEETON ST,,AUSTIN,78712,TRAVIS,Licensed Center - Child Care Program,75,7/3/02,3/2/22,2/7/22,8/24/20,Y,Full,,,,,,,,,,,,
818246,8,Kountry Klub,Kountry Klub (818246),1853 E FM 2369,,UVALDE,78801,UVALDE,Licensed Center - Child Care Program,94,1/31/03,3/2/22,2/7/22,4/24/20,Y,Full,,,,,,,,,,,,
818263,11,First United Methodist Church Day Care,First United Methodist Church Day Care (818263),4200 N MCCOLL RD,,MCALLEN,78504,HIDALGO,Licensed Center - Child Care Program,155,6/19/02,3/2/22,2/7/22,8/24/20,Y,Full,,,,,,,,,,,,
818285,7,Michelle Raye Heimann,Michelle Raye Heimann (818285),1716 BROKENSHOE DR,,ROUND ROCK,78681,WILLIAMSON,Registered Child-Care Home,12,6/27/02,3/2/22,2/7/22,6/27/02,Y,Full,,,,,,,,,,,,
818341,6,DELMY VILLARREAL,DELMY VILLARREAL (818341),527 FIRNAT ST,,HOUSTON,77022,HARRIS,Registered Child-Care Home,12,7/17/02,3/2/22,2/7/22,7/17/02,Y,Full,,,,,,,,,,,,
818345,11,Sesame Street Learning Center,Sesame Street Learning Center (818345),106 MAGNOLIA VILLAGE DR,STE B,EDINBURG,78542,HIDALGO,Licensed Center - Child Care Program,53,7/10/02,3/2/22,2/7/22,7/10/02,Y,Full,,,,,,,,,,,,
818367-1407,7,Rawleigh Elliott Head Start Center,Rawleigh Elliott Head Start Center (818367-1407),103 S HOLLY ST,,GEORGETOWN,78626,WILLIAMSON,Licensed Center - Child Care Program,92,12/3/02,3/2/22,2/7/22,8/24/20,Y,Full,,,,,,,,,,,,
818407,3,Greenville Avenue Child Development Center,Greenville Avenue Child Development Center (818407),1013 S GREENVILLE AVE,,RICHARDSON,75081,DALLAS,Licensed Center - Child Care Program,83,1/6/03,3/2/22,2/7/22,7/6/21,Y,Full,,,,,,,,,,,,
818463,8,Belinda Annette Cain,Belinda Annette Cain (818463),6003 ROYAL WOOD,,SAN ANTONIO,78239,BEXAR,Registered Child-Care Home,8,7/25/02,3/2/22,2/7/22,7/25/02,Y,Full,,,,,,,,,,,,
818506,3,Cross Town Preschool,Cross Town Preschool (818506),1400 N MEADOWS DR,,GRANBURY,76048,HOOD,Licensed Center - Child Care Program,68,12/13/02,3/2/22,2/7/22,5/4/20,Y,Full,,,,,,,,,,,,
818523,3,Bich Van Thi Huynh,Bich Van Thi Huynh (818523),4725 W WALNUT ST,APT 1114,GARLAND,75042,DALLAS,Registered Child-Care Home,12,7/16/02,3/2/22,2/7/22,7/16/02,Y,Full,,,,,,,,,,,,
818554,3,Little Servant Christian Academy,Little Servant Christian Academy (818554),911 W ROUND GROVE RD,,LEWISVILLE,75067,DENTON,Licensed Center - Child Care Program,82,2/12/03,3/2/22,2/7/22,8/13/02,Y,Full,,,,,,,,,,,,
818572,6,Kidz Come 1st  DC & Learning Center,Kidz Come 1st  DC & Learning Center (818572),10863 KIRKFAIR DR,,HOUSTON,77089,HARRIS,Licensed Center - Child Care Program,170,12/5/02,3/2/22,2/7/22,12/5/02,Y,Full,,,,,,,,,,,,
818575,6,PHUONG-HOANG THI PHAM,PHUONG-HOANG THI PHAM (818575),13606 SHELTON GROVE DR,,HOUSTON,77070,HARRIS,Registered Child-Care Home,12,7/8/02,3/2/22,2/7/22,5/4/20,Y,Full,,,,,,,,,,,,
818617,8,The Country Classroom,The Country Classroom (818617),1392 RIVER WAY,,SPRING BRANCH,78070,COMAL,Licensed Child-Care Home,12,1/14/03,3/2/22,2/7/22,9/1/20,Y,Full,,,,,,,,,,,,
818659,6,Alpha Academy,Alpha Academy (818659),1647 CANDYTUFT CT,,HOUSTON,77038,HARRIS,Licensed Center - Child Care Program,51,12/11/02,3/2/22,2/7/22,12/11/02,Y,Full,,,,,,,,,,,,
818691,11,Blessings Learning Academy,Blessings Learning Academy (818691),401 E HIGHWAY 83,,ALAMO,78516,HIDALGO,Licensed Center - Child Care Program,136,1/21/03,3/2/22,2/7/22,5/18/20,Y,Full,,,,,,,,,,,,
818693,3,Marshann  Robinzine,Marshann  Robinzine (818693),6358 GUILFORD ST,,FOREST HILL,76119,TARRANT,Registered Child-Care Home,12,7/23/02,3/2/22,2/7/22,7/23/02,Y,Full,,,,,,,,,,,,
818709,6,Excelsior University for Children,Excelsior University for Children (818709),2600 RED BLUFF RD,,SEABROOK,77586,HARRIS,Licensed Center - Child Care Program,150,1/29/03,3/2/22,2/7/22,1/29/03,Y,Full,,,,,,,,,,,,
818809,8,Thuy Khuc,Thuy Khuc (818809),514 TARA DR,,SAN ANTONIO,78216,BEXAR,Registered Child-Care Home,12,8/5/02,3/2/22,2/7/22,8/20/21,Y,Full,,,,,,,,,,,,
818822,9,J O Y School,J O Y School (818822),6002 KNICKERBOCKER RD,,SAN ANGELO,76904,TOM GREEN,Licensed Center - Child Care Program,219,12/17/02,3/2/22,2/7/22,9/10/20,Y,Full,,,,,,,,,,,,
818839,4,Trinity Christian Pre-School,Trinity Christian Pre-School (818839),2060 F M 79,,PARIS,75460,LAMAR,Licensed Center - Child Care Program,246,1/6/03,3/2/22,2/7/22,4/20/20,Y,Full,,,,,,,,,,,,
818891,11,The Children's Corner,The Children's Corner (818891),306 S 21ST ST,,KINGSVILLE,78363,KLEBERG,Licensed Center - Child Care Program,34,2/6/03,3/2/22,2/7/22,6/2/20,Y,Full,,,,,,,,,,,,
818894,4,All About Love,All About Love (818894),12831 SH 31 W,,TYLER,75709,SMITH,Licensed Center - Child Care Program,43,12/27/02,3/2/22,2/7/22,12/27/02,Y,Full,,,,,,,,,,,,
818999,6,His Kids Weekday Preschool West,His Kids Weekday Preschool West (818999),19449 KATY FWY,,HOUSTON,77094,HARRIS,Licensed Center - Child Care Program,150,1/24/03,3/2/22,2/7/22,9/21/20,Y,Full,,,,,,,,,,,,
819004-1967,7,Stepping Stone School XII,Stepping Stone School XII (819004-1967),7700 W PARMER LN,,AUSTIN,78729,WILLIAMSON,Licensed Center - Child Care Program,240,2/6/03,3/2/22,2/7/22,8/19/02,Y,Full,,,,,,,,,,,,
819008,11,Griselda Cecilia Slayton,Griselda Cecilia Slayton (819008),3409 N AMARETTO DR,,PHARR,78577,HIDALGO,Registered Child-Care Home,12,8/27/02,3/2/22,2/7/22,8/27/02,Y,Full,,,,,,,,,,,,
819154,11,Kids World Daycare and Learning  Center,Kids World Daycare and Learning  Center (819154),1826 S WASHINGTON ST,,BEEVILLE,78102,BEE,Licensed Center - Child Care Program,93,8/16/02,3/2/22,2/7/22,8/16/02,Y,Full,,,,,,,,,,,,
819172,7,Little Texans,Little Texans (819172),1841 C R 258,,BERTRAM,78605,BURNET,Licensed Center - Child Care Program,65,3/3/03,3/2/22,2/7/22,3/3/03,Y,Full,,,,,,,,,,,,
819178,8,Northern Hills UMC Day School,Northern Hills UMC Day School (819178),3703 N LOOP 1604 E,,SAN ANTONIO,78247,BEXAR,Licensed Center - Child Care Program,188,2/20/03,3/2/22,2/7/22,8/24/20,Y,Full,,,,,,,,,,,,
819185,6,Jacqueline Curtis,Jacqueline Curtis (819185),1707 PAMELA LN,,MISSOURI CITY,77489,FORT BEND,Registered Child-Care Home,12,7/26/02,3/2/22,2/7/22,7/26/02,Y,Full,,,,,,,,,,,,
819285,6,Children's Center At Brazosport College,Children's Center At Brazosport College (819285),500 COLLEGE DR,,LAKE JACKSON,77566,BRAZORIA,Licensed Center - Child Care Program,150,8/19/02,3/2/22,2/7/22,6/5/20,Y,Full,,,,,,,,,,,,
819325,6,YMCA After School Program @ Rustic Oak Elementary,YMCA After School Program @ Rustic Oak Elementary (819325),1302 RUSTIC LN,,PEARLAND,77581,BRAZORIA,Licensed Center - School Age Program,89,3/18/03,3/2/22,2/7/22,9/1/20,Y,Full,,,,,,,,,,,,
819366,8,Luv N Care Child Development Center,Luv N Care Child Development Center (819366),13211 HUEBNER RD,,SAN ANTONIO,78230,BEXAR,Licensed Center - Child Care Program,314,7/15/02,3/2/22,2/7/22,7/15/02,Y,Full,,,,,,,,,,,,
819406,8,Giant Steps Early Learning School,Giant Steps Early Learning School (819406),7900 OLD TEZEL RD,,SAN ANTONIO,78250,BEXAR,Licensed Center - Child Care Program,108,8/13/02,3/2/22,2/7/22,6/15/20,Y,Full,,,,,,,,,,,,
819407,3,Cuc Thi Doan,Cuc Thi Doan (819407),2102 SWORD DR,,GARLAND,75044,DALLAS,Registered Child-Care Home,12,8/1/02,3/2/22,2/7/22,8/1/02,Y,Full,,,,,,,,,,,,
819412,3,Wanda Jackson,Wanda Jackson (819412),749 OAKLAND ST,,GRAND PRAIRIE,75052,DALLAS,Registered Child-Care Home,12,9/9/02,3/2/22,2/7/22,9/9/02,Y,Full,,,,,,,,,,,,
819414,7,La Casa dei Bambini Kyle Montessori,La Casa dei Bambini Kyle Montessori (819414),701 SCOTT ST,,KYLE,78640,HAYS,Licensed Center - Child Care Program,30,2/19/03,3/2/22,2/7/22,5/7/20,Y,Full,,,,,,,,,,,,
819421,6,Minh Thi Dam,Minh Thi Dam (819421),9371 STARFIRE LN,,HOUSTON,77036,HARRIS,Registered Child-Care Home,12,8/19/02,3/2/22,2/7/22,8/19/02,Y,Full,,,,,,,,,,,,
819459,7,Bright Beginnings PreSchool,Bright Beginnings PreSchool (819459),2525 E VILLA MARIA RD,,BRYAN,77802,BRAZOS,Licensed Center - Child Care Program,102,1/24/03,3/2/22,2/7/22,1/24/03,Y,Full,,,,,,,,,,,,
819473-810,7,Childrens Courtyard,Childrens Courtyard (819473-810),5914 W WILLIAM CANNON DR,,AUSTIN,78749,TRAVIS,Licensed Center - Child Care Program,357,1/31/03,3/2/22,2/7/22,8/2/02,Y,Full,,,,,,,,,,,,
819592,7,Dripping Springs Educators Child Development Center,Dripping Springs Educators Child Development Center (819592),510 W MERCER ST,,DRIPPING SPRINGS,78620,HAYS,Licensed Center - Child Care Program,85,8/12/02,3/2/22,2/7/22,7/13/20,Y,Full,,,,,,,,,,,,
819615,3,Center Of Hope Crystal CDC,Center Of Hope Crystal CDC (819615),4815 CASS ST,,DALLAS,75235,DALLAS,Licensed Center - Child Care Program,65,5/1/03,3/2/22,2/7/22,1/18/21,Y,Full,,,,,,,,,,,,
819703,3,Crosspoint Clubhouse,Crosspoint Clubhouse (819703),2101 S STONEBRIDGE DR,,MCKINNEY,75072,COLLIN,Licensed Center - Child Care Program,140,2/5/03,3/2/22,2/7/22,9/8/20,Y,Full,,,,,,,,,,,,
819705,3,Cornerstone Child Care,Cornerstone Child Care (819705),6328 LAKE WORTH BLVD,,LAKE WORTH,76135,TARRANT,Licensed Center - Child Care Program,220,1/2/03,3/2/22,2/7/22,1/2/03,Y,Full,,,,,,,,,,,,
819738,6,Pugh Head Start,Pugh Head Start (819738),1042 HENKE ST,,HOUSTON,77020,HARRIS,Licensed Center - Child Care Program,34,2/24/03,3/2/22,2/7/22,10/13/20,Y,Full,,,,,,,,,,,,
819745,6,Montessori School of Downtown,Montessori School of Downtown (819745),2525 COUNTY ROAD 90,,PEARLAND,77584,BRAZORIA,Licensed Center - Child Care Program,325,3/25/03,3/2/22,2/7/22,5/26/20,Y,Full,,,,,,,,,,,,
819780-1128,3,Freedom Elementary - Clayton,Freedom Elementary - Clayton (819780-1128),5401 WALL PRICE RD,,FORT WORTH,76244,TARRANT,Licensed Center - Before/After School Program,130,1/29/03,3/2/22,2/7/22,8/31/20,Y,Full,,,,,,,,,,,,
819784-1128,3,Bluebonnet Elementary - Clayton,Bluebonnet Elementary - Clayton (819784-1128),7000 TEAL DR,,FORT WORTH,76137,TARRANT,Licensed Center - Before/After School Program,119,1/29/03,3/2/22,2/7/22,9/14/20,Y,Full,,,,,,,,,,,,
819862,1,Nonies Daycare,Nonies Daycare (819862),5405 44TH ST,,LUBBOCK,79414,LUBBOCK,Licensed Child-Care Home,12,8/9/02,3/2/22,2/7/22,8/9/02,Y,Full,,,,,,,,,,,,
819874,6,First Baptist Academy,First Baptist Academy (819874),600 N MAIN ST,,CONROE,77301,MONTGOMERY,Licensed Center - Child Care Program,120,1/24/03,3/2/22,2/7/22,8/17/20,Y,Full,,,,,,,,,,,,
819905,5,Holy Cross Lutheran ECE,Holy Cross Lutheran ECE (819905),2711 HELENA AVE,,NEDERLAND,77627,JEFFERSON,Licensed Center - Child Care Program,90,2/21/03,3/2/22,2/7/22,9/9/20,Y,Full,,,,,,,,,,,,
819909,8,Ana Isabel Velasco,Ana Isabel Velasco (819909),8010 HOBBLE ST,,SAN ANTONIO,78227,BEXAR,Registered Child-Care Home,12,9/13/02,3/2/22,2/7/22,7/14/21,Y,Full,,,,,,,,,,,,
819913,6,Darul Arqam Islamic School/Daycare,Darul Arqam Islamic School/Daycare (819913),8830 OLD GALVESTON RD,BLDG D,HOUSTON,77034,HARRIS,Licensed Center - Child Care Program,102,2/10/03,3/2/22,2/7/22,10/14/20,Y,Full,,,,,,,,,,,,
819924,6,St John Lutheran Early Childhood Center,St John Lutheran Early Childhood Center (819924),15235 SPRING CYPRESS RD,,CYPRESS,77429,HARRIS,Licensed Center - Child Care Program,255,9/25/02,3/2/22,2/7/22,2/22/21,Y,Full,,,,,,,,,,,,
820022-4491,6,Franklin Head Start Center,Franklin Head Start Center (820022-4491),7101 CANAL ST,,HOUSTON,77011,HARRIS,Licensed Center - Child Care Program,109,1/29/03,3/2/22,2/7/22,10/20/20,Y,Full,,,,,,,,,,,,
820046,7,Holy Cross Lutheran Learning Center,Holy Cross Lutheran Learning Center (820046),1200 FOXFIRE DR,,COLLEGE STATION,77845,BRAZOS,Licensed Center - Child Care Program,60,3/3/03,3/2/22,2/7/22,8/13/20,Y,Full,,,,,,,,,,,,
820092,4,Trinity Christian Playskool,Trinity Christian Playskool (820092),1822 W 6TH ST,,TEXARKANA,75501,BOWIE,Licensed Child-Care Home,12,3/17/03,3/2/22,2/7/22,8/17/20,Y,Full,,,,,,,,,,,,
820099,7,Rocking Horse Academy,Rocking Horse Academy (820099),6022 MCNAUGHTON,,KYLE,78640,HAYS,Licensed Center - Child Care Program,282,1/22/03,3/2/22,2/7/22,4/27/20,Y,Full,,,,,,,,,,,,
820117,11,Convenient Child Care Center,Convenient Child Care Center (820117),1101 MICHIGAN,,ALAMO,78516,HIDALGO,Licensed Child-Care Home,12,8/12/02,3/2/22,2/7/22,8/12/02,Y,Full,,,,,,,,,,,,
820181,1,ST Paul UMC Preschool/CDO,ST Paul UMC Preschool/CDO (820181),4317 W INTERSTATE 40,,AMARILLO,79106,POTTER,Licensed Center - Child Care Program,120,2/28/03,3/2/22,2/7/22,7/10/20,Y,Full,,,,,,,,,,,,
820191,7,BISD District Day Care @ Cedar Creek Elem.,BISD District Day Care @ Cedar Creek Elem. (820191),5582 FM 535,,CEDAR CREEK,78612,BASTROP,Licensed Center - Child Care Program,34,2/20/03,3/2/22,2/7/22,8/30/02,Y,Full,,,,,,,,,,,,
820202,6,Cypress Ridge High School Infant Toddler,Cypress Ridge High School Infant Toddler (820202),7900 N ELDRIDGE PKWY,,HOUSTON,77041,HARRIS,Licensed Center - Child Care Program,50,3/24/03,3/2/22,2/7/22,10/6/20,Y,Full,,,,,,,,,,,,
820203-4070,11,Rancho del Cielo Head Start,Rancho del Cielo Head Start (820203-4070),3 OLD EBONY ST,,BROWNSVILLE,78520,CAMERON,Licensed Center - Child Care Program,78,2/25/03,3/2/22,2/7/22,8/24/20,Y,Full,,,,,,,,,,,,
820204,3,Burning Bush Academy,Burning Bush Academy (820204),4943 BONNIE VIEW RD,,DALLAS,75241,DALLAS,Licensed Center - Child Care Program,99,4/1/03,3/2/22,2/7/22,5/4/20,Y,Full,,,,,,,,,,,,
