Operation Number,Operation Region,Operation Name,Address Line 1,Address Line 2,City,Zip Code,County,Operation Type,Capacity,Permit Issue Date,"Permit Status
3/1/2021","Operating Status
3/1/2021","Permit Status
3/6/2021","Operating Status
3/6/2021","Permit Status
3/13/2021","Operating Status
3/13/2021","Permit Status
3/20/2021","Operating Status
3/20/2021","Permit Status
3/27/2021","Operating Status
3/27/2021",,
815616,4,Lollypop Learning Center,3030 LAMAR AVE,,PARIS,75460,LAMAR,Licensed Center - Child Care Program,217,3/6/03,Full,Y,,,,,,,,,,
815620,6,Primrose School of Pearland,2350 C R 94,,PEARLAND,77584,BRAZORIA,Licensed Center - Child Care Program,233,9/20/02,Full,Y,,,,,,,,,,
815641,7,Mills Daycare,3951 STATE HIGHWAY 22,,HILLSBORO,76645,HILL,Licensed Child-Care Home,12,4/22/02,Full,Y,,,,,,,,,,
815733,11,Castillo's Day Care,6612 OLIVAREZ COL VILLA SAN M,,PHARR,78577,HIDALGO,Licensed Child-Care Home,12,12/17/02,Full,Y,,,,,,,,,,
815756-810,7,Children's Courtyard,4213 SPICEWOOD SPRINGS RD,,AUSTIN,78759,TRAVIS,Licensed Center - Child Care Program,396,1/27/03,Full,Y,,,,,,,,,,
815844,11,Bright Beginnings,4634 KOSTORYZ RD,,CORPUS CHRISTI,78415,NUECES,Licensed Center - Child Care Program,125,11/8/02,Full,Y,,,,,,,,,,
815847,8,Fredericksburg Community Preschool,711 S EAGLE ST,,FREDERICKSBURG,78624,GILLESPIE,Licensed Center - Child Care Program,91,5/5/03,Full,Y,,,,,,,,,,
815875,1,A New World Christian L C #2,2601 SLIDE RD,,LUBBOCK,79407,LUBBOCK,Licensed Center - Child Care Program,103,4/1/02,Full,Y,,,,,,,,,,
815880,1,A New World Christian L C #1,1912 19TH ST,,LUBBOCK,79401,LUBBOCK,Licensed Center - Child Care Program,64,4/1/02,Full,Y,,,,,,,,,,
815931,6,Lil' Champs Quality Learning CTR,1141 BRAZOSPORT BLVD N,,RICHWOOD,77531,BRAZORIA,Licensed Center - Child Care Program,250,8/8/02,Full,Y,,,,,,,,,,
815988,11,Young Scholars Academy,1273 E ALTON GLOOR BLVD,STE F,BROWNSVILLE,78526,CAMERON,Licensed Center - Child Care Program,52,9/26/02,Full,Y,,,,,,,,,,
816165,2,Juanita Martinez,1465 YORKTOWN DR,,ABILENE,79603,TAYLOR,Registered Child-Care Home,12,4/8/02,Full,Y,,,,,,,,,,
816200,8,Tammie McKay,3632 MARIETTA LN,,SCHERTZ,78154,GUADALUPE,Listed Family Home,3,5/17/02,Full,N,,,,,,,,,,
816241,3,TLC on Hedgcoxe,5200 HEDGCOXE RD,,PLANO,75024,COLLIN,Licensed Center - Child Care Program,469,10/17/02,Full,Y,,,,,,,,,,
816246,10,Mamys Home Day Care,7457 PLAZA REDONDA DR,,EL PASO,79912,EL PASO,Licensed Child-Care Home,12,10/10/02,Full,Y,,,,,,,,,,
816257,7,Tamara Kaye Kent,2202 LITTLE TREE BND,,CEDAR PARK,78613,WILLIAMSON,Listed Family Home,3,6/4/02,Full,Y,,,,,,,,,,
816277,3,Carlanda Reeves,8401 SUMMER PARK DR,,FORT WORTH,76123,TARRANT,Registered Child-Care Home,12,4/26/02,Full,Y,,,,,,,,,,
816311,6,Kids 'R' People 2 Inc,2725 REED RD,,HOUSTON,77051,HARRIS,Licensed Center - Child Care Program,107,10/23/02,Full,Y,,,,,,,,,,
816347,5,Raguet Child Care,211 KING ST,,NACOGDOCHES,75961,NACOGDOCHES,Licensed Center - Child Care Program,137,9/11/02,Full,Y,,,,,,,,,,
816413,3,Donna Burnett,1118 WILDERNESS TRL,,RICHARDSON,75080,DALLAS,Registered Child-Care Home,12,4/18/02,Full,Y,,,,,,,,,,
816419,3,Hamilton Academy,2725 VALLEY VIEW LN,,FARMERS BRANCH,75234,DALLAS,Licensed Center - Child Care Program,275,4/5/02,Full,Y,,,,,,,,,,
816470,7,Heather Marie Morua,2808 WESTWOOD DR,,KILLEEN,76549,BELL,Registered Child-Care Home,12,5/21/02,Full,Y,,,,,,,,,,
816501,3,Preparatory Place Academy,3846 OPAL AVE,,DALLAS,75216,DALLAS,Licensed Center - Child Care Program,18,5/8/03,Full,Y,,,,,,,,,,
816502,7,Marys Heavenly Home,1509 SPRING PEONY CT,,PFLUGERVILLE,78660,TRAVIS,Licensed Child-Care Home,12,10/10/02,Full,Y,,,,,,,,,,
816535,8,House of Neighborly Service,407 N CALAVERAS,,SAN ANTONIO,78207,BEXAR,Licensed Center - Child Care Program,47,11/18/02,Full,Y,,,,,,,,,,
816561,6,VERONICA M. MONARREZ,19210 CLEVERA WALK LN,,HOUSTON,77084,HARRIS,Registered Child-Care Home,12,5/28/02,Full,Y,,,,,,,,,,
816565,6,DORIS  MEJIA,11823 BANDLON DR,,HOUSTON,77072,HARRIS,Registered Child-Care Home,12,5/28/02,Full,Y,,,,,,,,,,
816574,6,Creative Care Academy,9660 BEECHNUT ST,,HOUSTON,77036,HARRIS,Licensed Center - Child Care Program,103,10/25/02,Full,Y,,,,,,,,,,
816585,3,Bich Uyen Ta,2004 EDGEHILL DR,,ARLINGTON,76014,TARRANT,Registered Child-Care Home,12,6/4/02,Full,Y,,,,,,,,,,
816600,11,Magic Times Child Care,2704 CHACOTA ST,,LAREDO,78046,WEBB,Licensed Child-Care Home,12,9/10/02,Full,Y,,,,,,,,,,
816646,6,Esperanza Heights,429 HEIGHTS BLVD,,HOUSTON,77007,HARRIS,Licensed Center - Child Care Program,86,10/29/02,Full,Y,,,,,,,,,,
816647-810,3,Childrens Courtyard,129 TOWN CENTER BLVD,,COPPELL,75019,DALLAS,Licensed Center - Child Care Program,302,10/15/02,Full,Y,,,,,,,,,,
816651,3,Charlene Taylor,2901 ALPINE CT,,MCKINNEY,75071,COLLIN,Registered Child-Care Home,12,5/9/02,Full,Y,,,,,,,,,,
816702,6,Silvia Marquez,2801 PARKGLEN ST,,DEER PARK,77536,HARRIS,Registered Child-Care Home,12,5/23/02,Full,Y,,,,,,,,,,
816786,3,Davids Place Head Start,1000 S CARROLL AVE,,DALLAS,75223,DALLAS,Licensed Center - Child Care Program,190,1/15/03,Full,N,,,,,,,,Y,,
816823,8,Edna  Wolf,22131 ADVANTAGE RUN,,SAN ANTONIO,78258,BEXAR,Registered Child-Care Home,12,5/22/02,Full,Y,,,,,,,,,,
816921,3,Arooj Day Care,1829 TAWAKONI LN,,PLANO,75075,COLLIN,Licensed Child-Care Home,12,11/7/02,Full,N,,,,,,,,,,
816923,3,Adventure Discovery Center Number 3,2631 W 4TH ST,,IRVING,75060,DALLAS,Licensed Center - Child Care Program,78,9/10/02,Full,Y,,,,,,,,,,
816945,3,Jacquelyine Shaw,5204 TIMBER PARK DR,,FLOWER MOUND,75028,DENTON,Registered Child-Care Home,12,5/8/02,Full,Y,,,,,,,,,,
816991,4,Gresham Heights Learning Academy,15945 F M 2493,,TYLER,75703,SMITH,Licensed Center - Child Care Program,83,4/29/02,Full,Y,,,,,,,,,,
817020,3,Kids Green Acre School,675 W OATES RD,,GARLAND,75043,DALLAS,Licensed Center - Child Care Program,289,5/28/02,Full,Y,,,,,,,,,,
817093,3,Tammy Hernandez,14711 BIRCHRIDGE DR,,DALLAS,75254,DALLAS,Registered Child-Care Home,12,5/23/02,Full,Y,,,,,,,,,,
817106,6,Montessori Country Day School,4909 CRAWFORD ST,,HOUSTON,77004,HARRIS,Licensed Center - Child Care Program,49,10/11/02,Full,Y,,,,,,,,,,
817177,8,Laura P Guajardo,2311 LOUISE ST,,SEGUIN,78155,GUADALUPE,Registered Child-Care Home,12,6/20/02,Full,Y,,,,,,,,,,
817197,3,Flower Mound United Methodist Church,3950 BRUTON ORAND BLVD,,FLOWER MOUND,75022,DENTON,Licensed Center - Child Care Program,150,12/23/02,Full,Y,,,,,,,,,,
817236,11,Maria L Martinez,1609 CIMMARRON ST,,PORTLAND,78374,SAN PATRICIO,Listed Family Home,3,8/15/02,Full,Y,,,,,,,,,,
817237,11,Kid's Smile Day Care,3154 LIMA ST,,BROWNSVILLE,78521,CAMERON,Licensed Center - Child Care Program,40,10/31/02,Full,Y,,,,,,,,,,
817314,7,Rockin Baby Ranch,4000 FM 2223,,BRYAN,77808,BRAZOS,Licensed Child-Care Home,12,12/4/02,Full,Y,,,,,,,,,,
817358,7,EOAC Johnette Hicks Early Head Start Center,510 S 12TH ST,,WACO,76706,MCLENNAN,Licensed Center - Child Care Program,136,11/20/02,Full,Y,,,,,,,,,,
817364,7,Laurie Brown,502 S 3RD ST,,ABBOTT,76621,HILL,Registered Child-Care Home,12,6/18/02,Full,Y,,,,,,,,,,
817369,5,Artimese  Lindsey,1810 BURTON AVE,,ORANGE,77630,ORANGE,Registered Child-Care Home,7,7/8/02,Full,Y,,,,,,,,,,
817389,3,Ruth Mintline,919 WATERVIEW CIR,,RICHARDSON,75080,DALLAS,Registered Child-Care Home,12,5/31/02,Full,Y,,,,,,,,,,
817391,8,All My Children,627 N GENERAL MCMULLEN DR,,SAN ANTONIO,78228,BEXAR,Licensed Center - Child Care Program,80,3/6/03,Full,Y,,,,,,,,,,
817437,8,Norma Ramirez,2010 SACRAMENTO,,SAN ANTONIO,78201,BEXAR,Listed Family Home,3,1/22/03,Full,Y,,,,,,,,,,
817447,3,Lisas Learning Center,204 E OAKDALE ST,,KEENE,76059,JOHNSON,Licensed Child-Care Home,12,10/14/02,Full,Y,,,,,,,,,,
817474,8,Kelly Van Ry,202 CIMARRON DR,,VICTORIA,77904,VICTORIA,Licensed Child-Care Home,10,1/17/03,Full,Y,,,,,,,,,,
817479,8,Shady Oaks Learning Center,918 TOEPPERWEIN RD,,CONVERSE,78109,BEXAR,Licensed Center - Child Care Program,67,12/17/02,Full,Y,,,,,,,,,,
817511,10,A Guardian Angel Child Care Ctr,6342 AIRPORT RD,STE B,EL PASO,79925,EL PASO,Licensed Center - Child Care Program,129,8/1/03,Full,Y,,,,,,,,,,
817520,10,Childrens Choice Learning Center,6330 N MESA ST,STE J,EL PASO,79912,EL PASO,Licensed Center - Child Care Program,131,11/22/02,Full,Y,,,,,,,,,,
817615,9,Discovery School Preschool,3500 W GOLF COURSE RD,,MIDLAND,79703,MIDLAND,Licensed Center - Child Care Program,122,2/21/03,Full,Y,,,,,,,,,,
817622,6,Play Palace,4814 1/2 ANDERSON RD,,HOUSTON,77053,HARRIS,Licensed Center - Child Care Program,78,11/13/02,Full,Y,,,,,,,,,,
817631,3,Carousel Academy,401 ACKER ST,,SANGER,76266,DENTON,Licensed Center - Child Care Program,115,10/10/02,Full,Y,,,,,,,,,,
817652,2,Southside Youth Senter,1205 MONTGOMERY ST,,WICHITA FALLS,76302,WICHITA,Licensed Center - School Age Program,80,5/30/18,Full,Y,,,,,,,,,,
817795,6,Minh Thi Hoang,8523 LEADER ST,,HOUSTON,77036,HARRIS,Registered Child-Care Home,12,7/1/02,Full,Y,,,,,,,,,,
817812,3,Ferguson Oates Head Start,2345 OATES DR,,DALLAS,75228,DALLAS,Licensed Center - Child Care Program,160,12/12/02,Full,Y,,,,,,,,,,
817944,8,Kid Depot,646 OAKHAVEN RD,,PLEASANTON,78064,ATASCOSA,Licensed Center - Child Care Program,103,11/26/02,Full,Y,,,,,,,,,,
817990,2,All Gods Children,2801 ANTILLEY RD,,ABILENE,79606,TAYLOR,Licensed Center - Child Care Program,319,11/30/02,Full,Y,,,,,,,,,,
818013,3,The Community School Park Cities,3412 BINKLEY AVE,,DALLAS,75205,DALLAS,Licensed Center - Child Care Program,80,6/3/02,Full,Y,,,,,,,,,,
818045,3,Kids Concepts Child Development,4019 W LEDBETTER DR,,DALLAS,75233,DALLAS,Licensed Center - Child Care Program,163,12/3/02,Full,Y,,,,,,,,,,
818059,3,Lake Highlands Baptist Church,642 BROOKHURST DR,,DALLAS,75218,DALLAS,Licensed Center - Child Care Program,130,2/20/03,Full,Y,,,,,,,,,,
818113,6,Nathan J & Amelia Klein Head Start,6447 PRESTWOOD DR,,HOUSTON,77081,HARRIS,Licensed Center - Child Care Program,121,12/4/02,Full,Y,,,,,,,,,,
818132,7,Pecan Street Preschool of First United Methodist Church,500 PECAN ST E,,PFLUGERVILLE,78660,TRAVIS,Licensed Center - Child Care Program,95,1/21/03,Full,Y,,,,,,,,,,
818188,7,Priscilla Pond Flawn Child and Family Lab UT,108 E DEAN KEETON ST,,AUSTIN,78712,TRAVIS,Licensed Center - Child Care Program,75,7/3/02,Full,Y,,,,,,,,,,
818246,8,Kountry Klub,1853 E FM 2369,,UVALDE,78801,UVALDE,Licensed Center - Child Care Program,94,1/31/03,Full,Y,,,,,,,,,,
818263,11,First United Methodist Church Day Care,4200 N MCCOLL RD,,MCALLEN,78504,HIDALGO,Licensed Center - Child Care Program,155,6/19/02,Full,Y,,,,,,,,,,
818285,7,Michelle Raye Heimann,1716 BROKENSHOE DR,,ROUND ROCK,78681,WILLIAMSON,Registered Child-Care Home,12,6/27/02,Full,Y,,,,,,,,,,
818341,6,DELMY VILLARREAL,527 FIRNAT ST,,HOUSTON,77022,HARRIS,Registered Child-Care Home,12,7/17/02,Full,Y,,,,,,,,,,
818345,11,Sesame Street Learning Center,106 MAGNOLIA VILLAGE DR,STE B,EDINBURG,78542,HIDALGO,Licensed Center - Child Care Program,53,7/10/02,Full,Y,,,,,,,,,,
818367-1407,7,Rawleigh Elliott Head Start Center,103 S HOLLY ST,,GEORGETOWN,78626,WILLIAMSON,Licensed Center - Child Care Program,92,12/3/02,Full,Y,,,,,,,,,,
818407,3,Greenville Avenue Child Development Center,1013 S GREENVILLE AVE,,RICHARDSON,75081,DALLAS,Licensed Center - Child Care Program,83,1/6/03,Full,N,,,,,,,,,,
818463,8,Belinda Annette Cain,6003 ROYAL WOOD,,SAN ANTONIO,78239,BEXAR,Registered Child-Care Home,8,7/25/02,Full,Y,,,,,,,,,,
818506,3,Cross Town Preschool,1400 N MEADOWS DR,,GRANBURY,76048,HOOD,Licensed Center - Child Care Program,68,12/13/02,Full,Y,,,,,,,,,,
818523,3,Bich Van Thi Huynh,4725 W WALNUT ST,APT 1114,GARLAND,75042,DALLAS,Registered Child-Care Home,12,7/16/02,Full,Y,,,,,,,,,,
818554,3,Little Servant Christian Academy,911 W ROUND GROVE RD,,LEWISVILLE,75067,DENTON,Licensed Center - Child Care Program,82,2/12/03,Full,Y,,,,,,,,,,
818572,6,Kidz Come 1st  DC & Learning Center,10863 KIRKFAIR DR,,HOUSTON,77089,HARRIS,Licensed Center - Child Care Program,170,12/5/02,Full,Y,,,,,,,,,,
818575,6,PHUONG-HOANG THI PHAM,13606 SHELTON GROVE DR,,HOUSTON,77070,HARRIS,Registered Child-Care Home,12,7/8/02,Full,Y,,,,,,,,,,
818578,3,Ivy International Education Center,903 W PARKER RD,,PLANO,75023,COLLIN,Licensed Center - Child Care Program,180,7/10/03,Full,Y,,,,,,,,,,
818617,8,The Country Classroom,1392 RIVER WAY,,SPRING BRANCH,78070,COMAL,Licensed Child-Care Home,12,1/14/03,Full,Y,,,,,,,,,,
818659,6,Alpha Academy,1647 CANDYTUFT CT,,HOUSTON,77038,HARRIS,Licensed Center - Child Care Program,51,12/11/02,Full,Y,,,,,,,,,,
818691,11,Blessings Learning Academy,401 E HIGHWAY 83,,ALAMO,78516,HIDALGO,Licensed Center - Child Care Program,136,1/21/03,Full,Y,,,,,,,,,,
818693,3,Marshann  Robinzine,6358 GUILFORD ST,,FOREST HILL,76119,TARRANT,Registered Child-Care Home,12,7/23/02,Full,Y,,,,,,,,,,
818709,6,Excelsior University for Children,2600 RED BLUFF RD,,SEABROOK,77586,HARRIS,Licensed Center - Child Care Program,150,1/29/03,Full,Y,,,,,,,,,,
818809,8,Thuy Khuc,514 TARA DR,,SAN ANTONIO,78216,BEXAR,Registered Child-Care Home,12,8/5/02,Full,N,,,,,,,,,,
818822,9,J O Y School,6002 KNICKERBOCKER RD,,SAN ANGELO,76904,TOM GREEN,Licensed Center - Child Care Program,219,12/17/02,Full,Y,,,,,,,,,,
818839,4,Trinity Christian Pre-School,2060 F M 79,,PARIS,75460,LAMAR,Licensed Center - Child Care Program,246,1/6/03,Full,Y,,,,,,,,,,
818891,11,The Children's Corner,306 S 21ST ST,,KINGSVILLE,78363,KLEBERG,Licensed Center - Child Care Program,34,2/6/03,Full,Y,,,,,,,,,,
818894,4,All About Love,12831 SH 31 W,,TYLER,75709,SMITH,Licensed Center - Child Care Program,43,12/27/02,Full,Y,,,,,,,,,,
818999,6,His Kids Weekday Preschool West,19449 KATY FWY,,HOUSTON,77094,HARRIS,Licensed Center - Child Care Program,150,1/24/03,Full,Y,,,,,,,,,,
819004-1967,7,Stepping Stone School XII,7700 W PARMER LN,,AUSTIN,78729,WILLIAMSON,Licensed Center - Child Care Program,240,2/6/03,Full,Y,,,,,,,,,,
819008,11,Griselda Cecilia Slayton,3409 N AMARETTO DR,,PHARR,78577,HIDALGO,Registered Child-Care Home,12,8/27/02,Full,Y,,,,,,,,,,
819154,11,Kids World Daycare and Learning  Center,1826 S WASHINGTON ST,,BEEVILLE,78102,BEE,Licensed Center - Child Care Program,93,8/16/02,Full,Y,,,,,,,,,,
819172,7,Little Texans,1841 C R 258,,BERTRAM,78605,BURNET,Licensed Center - Child Care Program,65,3/3/03,Full,Y,,,,,,,,,,
819178,8,Northern Hills UMC Day School,3703 N LOOP 1604 E,,SAN ANTONIO,78247,BEXAR,Licensed Center - Child Care Program,188,2/20/03,Full,Y,,,,,,,,,,
819185,6,Jacqueline Curtis,1707 PAMELA LN,,MISSOURI CITY,77489,FORT BEND,Registered Child-Care Home,12,7/26/02,Full,Y,,,,,,,,,,
819285,6,Children's Center At Brazosport College,500 COLLEGE DR,,LAKE JACKSON,77566,BRAZORIA,Licensed Center - Child Care Program,150,8/19/02,Full,Y,,,,,,,,,,
819325,6,YMCA After School Program @ Rustic Oak Elementary,1302 RUSTIC LN,,PEARLAND,77581,BRAZORIA,Licensed Center - School Age Program,89,3/18/03,Full,Y,,,,,,,,,,
819338,7,Kidz Turn,900 N LOOP 340,,WACO,76705,MCLENNAN,Licensed Center - Child Care Program,175,2/7/03,Full,Y,,,,,,,,,,
819366,8,Luv N Care Child Development Center,13211 HUEBNER RD,,SAN ANTONIO,78230,BEXAR,Licensed Center - Child Care Program,314,7/15/02,Full,Y,,,,,,,,,,
819406,8,Giant Steps Early Learning School,7900 OLD TEZEL RD,,SAN ANTONIO,78250,BEXAR,Licensed Center - Child Care Program,108,8/13/02,Full,Y,,,,,,,,,,
819407,3,Cuc Thi Doan,2102 SWORD DR,,GARLAND,75044,DALLAS,Registered Child-Care Home,12,8/1/02,Full,Y,,,,,,,,,,
819412,3,Wanda Jackson,749 OAKLAND ST,,GRAND PRAIRIE,75052,DALLAS,Registered Child-Care Home,12,9/9/02,Full,Y,,,,,,,,,,
819414,7,La Casa dei Bambini Kyle Montessori,701 SCOTT ST,,KYLE,78640,HAYS,Licensed Center - Child Care Program,30,2/19/03,Full,Y,,,,,,,,,,
819421,6,Minh Thi Dam,9371 STARFIRE LN,,HOUSTON,77036,HARRIS,Registered Child-Care Home,12,8/19/02,Full,Y,,,,,,,,,,
819459,7,Bright Beginnings PreSchool,2525 E VILLA MARIA RD,,BRYAN,77802,BRAZOS,Licensed Center - Child Care Program,102,1/24/03,Full,Y,,,,,,,,,,
819473-810,7,Childrens Courtyard,5914 W WILLIAM CANNON DR,,AUSTIN,78749,TRAVIS,Licensed Center - Child Care Program,357,1/31/03,Full,Y,,,,,,,,,,
819501,11,Good Foundations Learning Center,1200 N STADIUM RD,,ALICE,78332,JIM WELLS,Licensed Center - Child Care Program,60,2/4/03,Full,Y,,,,,,,,,,
819568,7,Sinai Christian Child Development Center,701 E STAN SCHLUETER LOOP,,KILLEEN,76542,BELL,Licensed Center - Child Care Program,171,1/24/03,Full,Y,,,,,,,,,,
819592,7,Dripping Springs Educators Child Development Center,510 W MERCER ST,,DRIPPING SPRINGS,78620,HAYS,Licensed Center - Child Care Program,85,8/12/02,Full,Y,,,,,,,,,,
819615,3,Center Of Hope Crystal CDC,4815 CASS ST,,DALLAS,75235,DALLAS,Licensed Center - Child Care Program,65,5/1/03,Full,Y,,,,,,,,,,
819703,3,Crosspoint Clubhouse,2101 S STONEBRIDGE DR,,MCKINNEY,75072,COLLIN,Licensed Center - Child Care Program,140,2/5/03,Full,Y,,,,,,,,,,
819705,3,Cornerstone Child Care,6328 LAKE WORTH BLVD,,LAKE WORTH,76135,TARRANT,Licensed Center - Child Care Program,220,1/2/03,Full,Y,,,,,,,,,,
819738,6,Pugh Head Start,1042 HENKE ST,,HOUSTON,77020,HARRIS,Licensed Center - Child Care Program,34,2/24/03,Full,Y,,,,,,,,,,
819745,6,Montessori School of Downtown,2525 COUNTY ROAD 90,,PEARLAND,77584,BRAZORIA,Licensed Center - Child Care Program,325,3/25/03,Full,Y,,,,,,,,,,
819780-1128,3,Freedom Elementary - Clayton,5401 WALL PRICE RD,,FORT WORTH,76244,TARRANT,Licensed Center - School Age Program,130,1/29/03,Full,Y,,,,,,,,,,
819784-1128,3,Bluebonnet Elementary - Clayton,7000 TEAL DR,,FORT WORTH,76137,TARRANT,Licensed Center - School Age Program,119,1/29/03,Full,Y,,,,,,,,,,
819862,1,Nonies Daycare,5405 44TH ST,,LUBBOCK,79414,LUBBOCK,Licensed Child-Care Home,12,8/9/02,Full,Y,,,,,,,,,,
819874,6,First Baptist Academy,600 N MAIN ST,,CONROE,77301,MONTGOMERY,Licensed Center - Child Care Program,120,1/24/03,Full,Y,,,,,,,,,,
819905,5,Holy Cross Lutheran ECE,2711 HELENA AVE,,NEDERLAND,77627,JEFFERSON,Licensed Center - Child Care Program,90,2/21/03,Full,Y,,,,,,,,,,
819909,8,Ana Isabel Velasco,8010 HOBBLE ST,,SAN ANTONIO,78227,BEXAR,Registered Child-Care Home,12,9/13/02,Full,N,,,,,,,,,,
819913,6,Darul Arqam Islamic School/Daycare,8830 OLD GALVESTON RD,BLDG D,HOUSTON,77034,HARRIS,Licensed Center - Child Care Program,102,2/10/03,Full,Y,,,,,,,,,,
819924,6,St John Lutheran Early Childhood Center,15235 SPRING CYPRESS RD,,CYPRESS,77429,HARRIS,Licensed Center - Child Care Program,255,9/25/02,Full,Y,,,,,,,,,,
820022-4491,6,Franklin Head Start Center,7101 CANAL ST,,HOUSTON,77011,HARRIS,Licensed Center - Child Care Program,109,1/29/03,Full,Y,,,,,,,,,,
820046,7,Holy Cross Lutheran Learning Center,1200 FOXFIRE DR,,COLLEGE STATION,77845,BRAZOS,Licensed Center - Child Care Program,60,3/3/03,Full,Y,,,,,,,,,,
820092,4,Trinity Christian Playskool,1822 W 6TH ST,,TEXARKANA,75501,BOWIE,Licensed Child-Care Home,12,3/17/03,Full,Y,,,,,,,,,,
820099,7,Rocking Horse Academy,6022 MCNAUGHTON,,KYLE,78640,HAYS,Licensed Center - Child Care Program,282,1/22/03,Full,Y,,,,,,,,,,
820117,11,Convenient Child Care Center,1101 MICHIGAN,,ALAMO,78516,HIDALGO,Licensed Child-Care Home,12,8/12/02,Full,Y,,,,,,,,,,
820181,1,ST Paul UMC Preschool/CDO,4317 IH 40 W,,AMARILLO,79106,POTTER,Licensed Center - Child Care Program,120,2/28/03,Full,Y,,,,,,,,,,
820191,7,BISD District Day Care @ Cedar Creek Elem.,5582 F M 535,,CEDAR CREEK,78612,BASTROP,Licensed Center - Child Care Program,34,2/20/03,Full,Y,,,,,,,,,,
820202,6,Cypress Ridge High School Infant Toddler,7900 N ELDRIDGE PKWY,,HOUSTON,77041,HARRIS,Licensed Center - Child Care Program,50,3/24/03,Full,Y,,,,,,,,,,
820203-4070,11,Rancho del Cielo Head Start,3 OLD EBONY ST,,BROWNSVILLE,78520,CAMERON,Licensed Center - Child Care Program,78,2/25/03,Full,Y,,,,,,,,,,
820204,3,Burning Bush Academy,4943 BONNIE VIEW RD,,DALLAS,75241,DALLAS,Licensed Center - Child Care Program,99,4/1/03,Full,Y,,,,,,,,,,
820212,6,Teeter Totter Village,9133 SCOTT ST,,HOUSTON,77051,HARRIS,Licensed Center - Child Care Program,272,8/8/02,Full,Y,,,,,,,,,,
820217,6,Kids of The Kingdom,3801 S PANTHER CREEK DR,,THE WOODLANDS,77381,MONTGOMERY,Licensed Center - Child Care Program,120,8/27/02,Full,Y,,,,,,,,,,
820352-1086,7,Grant Child Development Center  Child Incorporated,1701 KRAMER LN,,AUSTIN,78758,TRAVIS,Licensed Center - Child Care Program,40,2/27/03,Full,Y,,,,,,,,,,
820396,6,The Adventure School,10555 SPRING CYPRESS RD,,HOUSTON,77070,HARRIS,Licensed Center - Child Care Program,465,8/13/02,Full,Y,,,,,,,,,,
820412-1427,7,Laura Bush YMCA,12600 COUNTRY TRL,,AUSTIN,78732,TRAVIS,Licensed Center - School Age Program,150,2/5/03,Full,Y,,,,,,,,,,
820415,6,Klassy Kids Lighthouse Child Development Academy,401 W BRAZOS AVE,,WEST COLUMBIA,77486,BRAZORIA,Licensed Center - Child Care Program,88,12/11/02,Full,Y,,,,,,,,,,
820427,8,Diana Roberts Daycare Center,1923 S ELLISON DR,,SAN ANTONIO,78245,BEXAR,Licensed Center - Child Care Program,17,4/10/03,Full,Y,,,,,,,,,,
820461,7,Cedar Creek Head Start,5582 F M 535,,CEDAR CREEK,78612,BASTROP,Licensed Center - Child Care Program,37,2/13/03,Full,N,,,,,,,,,,
820475-1427,7,YMCA-Union Hill,1511 GULF WAY,,ROUND ROCK,78665,WILLIAMSON,Licensed Center - School Age Program,150,2/18/03,Full,Y,,,,,,,,,,
820496,3,Blessing Center,1700 N KAUFMAN ST,,ENNIS,75119,ELLIS,Licensed Center - Child Care Program,30,3/20/03,Full,Y,,,,,,,,,,
820513,6,Annointed Christian Childcare,13837 LONGVIEW ST,,HOUSTON,77015,HARRIS,Licensed Center - Child Care Program,68,4/8/03,Full,Y,,,,,,,,,,
820521,5,Kid Kountry Too,2682 TED TROUT DR,,LUFKIN,75904,ANGELINA,Licensed Center - Child Care Program,107,2/10/03,Full,Y,,,,,,,,,,
820541,3,First United Methodist Preschool,590 NE MCALISTER RD,,BURLESON,76028,TARRANT,Licensed Center - Child Care Program,137,10/11/02,Full,Y,,,,,,,,,,
820548,6,Tuong-Vi Thi Hoang,18818 LANTERN COVE LN,,TOMBALL,77375,HARRIS,Registered Child-Care Home,12,9/17/02,Full,Y,,,,,,,,,,
820570,8,Jessica Leister,5116 FM 482,,NEW BRAUNFELS,78132,COMAL,Registered Child-Care Home,12,10/16/02,Full,Y,,,,,,,,,,
820597,7,Headwaters School,6305 Manchaca RD and,1934 Berkeley AVE,Austin,78745,TRAVIS,Licensed Center - Child Care Program,178,2/11/03,Full,Y,,,,,,,,,,
820607,3,Precious Hearts Day Care,2213 E PETERS COLONY RD,,CARROLLTON,75007,DENTON,Licensed Child-Care Home,12,1/15/03,Full,Y,,,,,,,,,,
820635,3,Sonja Lil'  Darling,5739 BONNIE VIEW RD,,DALLAS,75241,DALLAS,Licensed Center - Child Care Program,36,2/28/03,Full,Y,,,,,,,,,,
820781,2,David Crockett Early Head Start,3282 S 13TH ST,,ABILENE,79605,TAYLOR,Licensed Center - Child Care Program,164,2/11/03,Full,Y,,,,,,,,,,
820790,6,Trinity Episcopal Day School,3901 S PANTHER CREEK DR,,THE WOODLANDS,77381,MONTGOMERY,Licensed Center - Child Care Program,100,2/24/03,Full,Y,,,,,,,,,,
820791-2729,6,YMCA @ Sneed Elementary,9855 PAGEWOOD LN,,HOUSTON,77042,HARRIS,Licensed Center - School Age Program,60,3/18/03,Full,Y,,,,,,,,,,
